# num, x, y, Re(cal), Re(ana), Im(cal), Im(ana)
35 3.4686747417690139e-01 6.8076574883762309e-01 2.8141374786898943e-01 -5.5898969885909887e-02 3.4522081140856824e+00 9.4244516074294127e-01
36 3.1860639612501590e-01 6.7707305642543270e-01 2.8430725055743750e-01 5.5473901029360749e-02 3.4841577726105224e+00 9.4695180459903305e-01
37 2.9395256652222657e-01 6.7928430194166500e-01 2.8604148805098162e-01 1.7122126833497889e-01 3.4996186750421669e+00 9.3982916084320689e-01
38 2.7247068312146550e-01 6.8818238939157772e-01 2.8716332829750058e-01 2.8974247780508161e-01 3.5062289813351741e+00 9.2059044471921836e-01
39 2.5347420632771928e-01 7.0405169278653146e-01 2.8803942418711903e-01 4.0934976463708184e-01 3.5061531575256093e+00 8.8892267881197562e-01
40 2.3610173423908473e-01 7.2664642056615791e-01 2.8887314462183755e-01 5.2829642241534780e-01 3.4961963970220507e+00 8.4470002943831080e-01
41 2.1940501082768751e-01 7.5519700070325402e-01 2.8999080346110573e-01 6.4480699695496868e-01 3.4688027089009341e+00 7.8799336221822536e-01
42 2.0244072745077157e-01 7.8845457678569575e-01 2.9231261415937637e-01 7.5710884912831522e-01 3.4134646319127482e+00 7.1907562599358388e-01
43 1.8435812721340122e-01 8.2477084962782465e-01 2.9782631830577178e-01 8.6346436419151007e-01 3.3182210534663654e+00 6.3842278505179106e-01
44 1.6447493921709846e-01 8.6220782586846079e-01 3.0976396702297437e-01 9.6220303946361152e-01 3.1712915161151178e+00 5.4671014431577436e-01
45 1.4233530545281622e-01 8.9866975039445318e-01 3.3220685098838526e-01 1.0517526602583842e+00 2.9629794727397032e+00 4.4480404655729733e-01
46 1.1774501677484499e-01 9.3204778035913893e-01 3.6911219463313844e-01 1.1306687776131410e+00 2.6876084768899768e+00 3.3374905994109222e-01
47 9.0781403927674365e-02 9.6036693950480934e-01 4.2311318379590623e-01 1.1976617314443339e+00 2.3449005584377045e+00 2.1475091306863361e-01
48 6.1777462856832908e-02 9.8192465371815163e-01 4.9459837554670361e-01 1.2516205189990715e+00 1.9403306810726986e+00 8.9155567752803200e-02
49 3.1282042544634708e-02 9.9541073385818124e-01 5.8140857042775451e-01 1.2916328894207227e+00 1.4844868059298630e+00 -4.1575058297268312e-02
50 6.1232339957367660e-17 1.0000000000000000e+00 6.7915822916814061e-01 1.3170011483361590e+00 9.9188138471008092e-01 -1.7589010082443143e-01
