# i, x, y, real(u), imag(u)
130 12.885 -11.7886 -0.609865 0.200167
131 12.8469 -11.7693 -0.649084 0.288626
132 12.808 -11.7524 -0.676977 0.359583
133 12.7704 -11.7372 -0.695068 0.412599
134 12.736 -11.7228 -0.705488 0.44932
135 12.7062 -11.7084 -0.71052 0.47296
136 12.6823 -11.6928 -0.712215 0.487454
137 12.665 -11.6751 -0.712061 0.496611
138 12.6545 -11.6544 -0.710678 0.503568
139 12.6504 -11.63 -0.707593 0.510649
140 12.6519 -11.6015 -0.701213 0.519505
141 12.6578 -11.569 -0.68903 0.531298
142 12.6665 -11.5327 -0.668023 0.546735
143 12.6764 -11.4933 -0.635168 0.565919
144 12.6856 -11.4519 -0.587967 0.588205
145 12.6925 -11.4099 -0.524893 0.612304
146 12.6955 -11.3685 -0.445654 0.636683
147 12.6935 -11.3295 -0.351157 0.660074
148 12.6855 -11.2942 -0.24323 0.681803
149 12.6711 -11.2641 -0.124246 0.701768
150 12.6503 -11.2403 0.00312854 0.720103
151 12.6235 -11.2235 0.135944 0.736754
152 12.5916 -11.2139 0.270722 0.75122
153 12.5555 -11.2114 0.403204 0.762622
154 12.5166 -11.2154 0.528429 0.770069
155 12.4763 -11.2247 0.641242 0.773118
156 12.4357 -11.238 0.737185 0.772055
157 12.3963 -11.2535 0.813469 0.767847
158 12.3589 -11.2694 0.869638 0.76179
159 12.3244 -11.2836 0.907622 0.755096
160 12.2932 -11.2944 0.931131 0.748621
161 12.2653 -11.3003 0.944642 0.742759
162 12.2405 -11.3 0.952324 0.737348
163 12.2184 -11.2928 0.957251 0.731458
164 12.1983 -11.2784 0.961061 0.723109
165 12.1792 -11.2573 0.964053 0.709147
166 12.1603 -11.2301 0.965557 0.685488
167 12.1408 -11.1982 0.964368 0.647754
168 12.12 -11.1634 0.959146 0.592191
169 12.0973 -11.1277 0.948773 0.516567
170 12.0724 -11.093 0.932735 0.420712
171 12.0453 -11.0616 0.911449 0.306521
172 12.0162 -11.0355 0.88639 0.177434
173 11.9856 -11.0162 0.859905 0.0376789
174 11.9542 -11.0052 0.834765 -0.108412
175 11.9226 -11.003 0.813573 -0.256782
176 11.8918 -11.01 0.798191 -0.403699
177 11.8624 -11.0258 0.789349 -0.545527
178 11.8352 -11.0495 0.786516 -0.678516
179 11.8105 -11.0799 0.788098 -0.798855
180 11.7886 -11.115 0.791947 -0.903036
181 11.7693 -11.1531 0.795996 -0.988465
182 11.7524 -11.192 0.798768 -1.05408
183 11.7372 -11.2296 0.7996 -1.1007
184 11.7228 -11.264 0.798552 -1.13093
185 11.7084 -11.2938 0.796141 -1.14854
186 11.6928 -11.3177 0.792989 -1.15769
187 11.6751 -11.335 0.78943 -1.16196
188 11.6544 -11.3455 0.785082 -1.16358
189 11.63 -11.3496 0.778484 -1.16308
190 11.6015 -11.3481 0.767014 -1.15929
191 11.569 -11.3422 0.747211 -1.14976
192 11.5327 -11.3335 0.715493 -1.13142
193 11.4933 -11.3236 0.669103 -1.10139
194 11.4519 -11.3144 0.606925 -1.0577
195 11.4099 -11.3075 0.529797 -1.00006
196 11.3685 -11.3045 0.440135 -0.930197
197 11.3295 -11.3065 0.341023 -0.851789
198 11.2942 -11.3145 0.235211 -0.769899
199 11.2641 -11.3289 0.124498 -0.690048
200 8.13674 -11.0094 1.0792 0.413912
201 8.10512 -11.0097 1.10921 0.228923
202 8.07307 -11.0189 1.14285 0.0520087
203 8.04139 -11.0362 1.17977 -0.113337
204 8.01081 -11.0606 1.2182 -0.263581
205 7.98188 -11.0903 1.25535 -0.395229
206 7.95497 -11.1234 1.28815 -0.505345
207 7.93015 -11.1578 1.31414 -0.59232
208 7.90727 -11.1913 1.33217 -0.656533
209 7.88592 -11.2219 1.34258 -0.700504
210 7.86548 -11.2479 1.34689 -0.72842
211 7.84518 -11.2679 1.34714 -0.745198
212 7.82419 -11.281 1.34503 -0.755476
213 7.80169 -11.2869 1.34099 -0.762924
214 7.77697 -11.2857 1.33366 -0.77002
215 7.74948 -11.2782 1.31974 -0.778199
216 7.71893 -11.2655 1.29461 -0.788128
217 7.68533 -11.2493 1.25352 -0.799905
218 7.64898 -11.2312 1.19307 -0.813124
219 7.61053 -11.2134 1.11265 -0.827002
220 7.57087 -11.1977 1.01507 -0.84076
221 7.53111 -11.1859 0.906192 -0.854217
222 7.49252 -11.1796 0.793553 -0.868289
223 7.45638 -11.18 0.684425 -0.885048
224 7.42393 -11.1876 0.58411 -0.907246
225 7.39622 -11.2028 0.495011 -0.937452
226 7.37406 -11.2254 0.416768 -0.977161
227 7.35789 -11.2546 0.347284 -1.02615
228 7.34779 -11.2893 0.284128 -1.08224
229 7.34339 -11.3281 0.225734 -1.1416
230 7.34394 -11.3696 0.171986 -1.19946
231 7.34831 -11.412 0.124025 -1.25114
232 7.35506 -11.4538 0.0834475 -1.29308
233 7.36257 -11.4937 0.0513679 -1.3236
