# i, x, y, real(u), imag(u)
131 -0.562083 -0.827081 -8.92554 8.44615
132 -0.535827 -0.844328 -10.4975 5.52935
133 -0.509041 -0.860742 -11.1976 2.33866
134 -0.481754 -0.876307 -10.9773 -0.865545
135 -0.45399 -0.891007 -9.86965 -3.81409
136 -0.425779 -0.904827 -7.99038 -6.25597
137 -0.397148 -0.917755 -5.53038 -7.98546
138 -0.368125 -0.929776 -2.73818 -8.86584
139 -0.338738 -0.940881 0.10524 -8.84641
140 -0.309017 -0.951057 2.71688 -7.97
141 -0.278991 -0.960294 4.8437 -6.36936
142 -0.24869 -0.968583 6.29187 -4.25219
143 -0.218143 -0.975917 6.94929 -1.87653
144 -0.187381 -0.982287 6.79788 0.480762
145 -0.156434 -0.987688 5.91379 2.55795
146 -0.125333 -0.992115 4.45532 4.14028
147 -0.0941083 -0.995562 2.64004 5.08518
148 -0.0627905 -0.998027 0.714486 5.33714
149 -0.0314108 -0.999507 -1.07907 4.93036
150 -1.35064e-14 -1 -2.53404 3.97903
151 0.0314108 -0.999507 -3.5044 2.65696
152 0.0627905 -0.998027 -3.9199 1.17002
153 0.0941083 -0.995562 -3.78944 -0.274197
154 0.125333 -0.992115 -3.19314 -1.49482
155 0.156434 -0.987688 -2.26473 -2.36011
156 0.187381 -0.982287 -1.16773 -2.80092
157 0.218143 -0.975917 -0.0695072 -2.81381
158 0.24869 -0.968583 0.882716 -2.45431
159 0.278991 -0.960294 1.5804 -1.82226
160 0.309017 -0.951057 1.96446 -1.0422
161 0.338738 -0.940881 2.02751 -0.242431
162 0.368125 -0.929776 1.80818 0.463915
163 0.397148 -0.917755 1.37926 0.993143
164 0.425779 -0.904827 0.832438 1.29899
165 0.45399 -0.891007 0.262201 1.3739
166 0.481754 -0.876307 -0.248265 1.24436
167 0.509041 -0.860742 -0.637483 0.961858
168 0.535827 -0.844328 -0.871234 0.591391
169 0.562083 -0.827081 -0.943177 0.199859
170 0.587785 -0.809017 -0.871202 -0.154028
171 0.612907 -0.790155 -0.690774 -0.426946
172 0.637424 -0.770513 -0.446761 -0.594642
173 0.661312 -0.750111 -0.185271 -0.652162
174 0.684547 -0.728969 0.0532853 -0.611159
175 0.707107 -0.707107 0.239056 -0.495228
176 0.728969 -0.684547 0.355186 -0.334313
177 0.750111 -0.661312 0.397893 -0.159204
178 0.770513 -0.637424 0.374616 0.00306389
179 0.790155 -0.612907 0.30086 0.132395
180 0.809017 -0.587785 0.196459 0.217191
181 0.827081 -0.562083 0.0819152 0.254364
182 0.844328 -0.535827 -0.024668 0.248115
183 0.860742 -0.509041 -0.109724 0.207885
184 0.876307 -0.481754 -0.165306 0.14596
185 0.891007 -0.45399 -0.189159 0.0751514
186 0.904827 -0.425779 -0.183981 0.00687046
187 0.917755 -0.397148 -0.15612 -0.0501894
188 0.929776 -0.368125 -0.114008 -0.0906983
189 0.940881 -0.338738 -0.0665985 -0.112707
190 0.951057 -0.309017 -0.0220158 -0.117166
191 0.960294 -0.278991 0.0134418 -0.107125
192 0.968583 -0.24869 0.0358781 -0.0868009
193 0.975917 -0.218143 0.0439609 -0.0606996
194 0.982287 -0.187381 0.0387207 -0.0329045
195 0.987688 -0.156434 0.0230758 -0.00662322
196 0.992115 -0.125333 0.00118352 0.015994
197 0.995562 -0.0941083 -0.0222808 0.0337934
198 0.998027 -0.0627905 -0.0428279 0.0463827
199 0.999507 -0.0314108 -0.0567703 0.0538114
