# i, x, y, real(u), imag(u)
133 12.7704 -11.7372 0.890063 0.00464646
134 12.736 -11.7228 0.960895 -0.0597189
135 12.7062 -11.7084 1.01127 -0.118484
136 12.6823 -11.6928 1.04134 -0.166675
137 12.665 -11.6751 1.05223 -0.200487
138 12.6545 -11.6544 1.04503 -0.217569
139 12.6504 -11.63 1.02084 -0.21724
140 12.6519 -11.6015 0.980636 -0.200565
141 12.6578 -11.569 0.925304 -0.169869
142 12.6665 -11.5327 0.85611 -0.128568
143 12.6764 -11.4933 0.775007 -0.0809143
144 12.6856 -11.4519 0.684694 -0.0315621
145 12.6925 -11.4099 0.588436 0.0150032
146 12.6955 -11.3685 0.48969 0.0550935
147 12.6935 -11.3295 0.391647 0.0863019
148 12.6855 -11.2942 0.296865 0.107678
149 12.6711 -11.2641 0.207104 0.119547
150 12.6503 -11.2403 0.123397 0.123062
151 12.6235 -11.2235 0.046261 0.119661
152 12.5916 -11.2139 -0.0240677 0.110615
153 12.5555 -11.2114 -0.0875291 0.0968375
154 12.5166 -11.2154 -0.144308 0.0789809
155 12.4763 -11.2247 -0.194958 0.0577693
156 12.4357 -11.238 -0.240422 0.0343915
157 12.3963 -11.2535 -0.281863 0.0107355
158 12.3589 -11.2694 -0.320322 -0.0106788
159 12.3244 -11.2836 -0.356378 -0.0270324
160 12.2932 -11.2944 -0.390025 -0.0356675
161 12.2653 -11.3003 -0.420768 -0.0344419
162 12.2405 -11.3 -0.44793 -0.0220999
163 12.2184 -11.2928 -0.470736 0.00176705
164 12.1983 -11.2784 -0.488425 0.0362072
165 12.1792 -11.2573 -0.500329 0.0791088
166 12.1603 -11.2301 -0.505651 0.127445
167 12.1408 -11.1982 -0.503416 0.177589
168 12.12 -11.1634 -0.492589 0.225943
169 12.0973 -11.1277 -0.472255 0.269582
170 12.0724 -11.093 -0.441843 0.306684
171 12.0453 -11.0616 -0.401294 0.336622
172 12.0162 -11.0355 -0.351156 0.359689
173 11.9856 -11.0162 -0.292525 0.376627
174 11.9542 -11.0052 -0.22701 0.388186
175 11.9226 -11.003 -0.156616 0.394846
176 11.8918 -11.01 -0.083685 0.396824
177 11.8624 -11.0258 -0.0108553 0.394296
178 11.8352 -11.0495 0.0590528 0.387718
179 11.8105 -11.0799 0.123311 0.378082
180 11.7886 -11.115 0.179683 0.366947
181 11.7693 -11.1531 0.226836 0.356199
182 11.7524 -11.192 0.264643 0.347564
183 11.7372 -11.2296 0.294258 0.342031
184 11.7228 -11.264 0.31796 0.339416
185 11.7084 -11.2938 0.338796 0.338238
186 11.6928 -11.3177 0.360067 0.335945
187 11.6751 -11.335 0.384749 0.329411
188 11.6544 -11.3455 0.41483 0.31531
189 11.63 -11.3496 0.450665 0.290729
190 11.6015 -11.3481 0.490902 0.253476
191 11.569 -11.3422 0.532643 0.202293
192 11.5327 -11.3335 0.571888 0.137211
193 11.4933 -11.3236 0.604336 0.0597119
194 11.4519 -11.3144 0.626249 -0.0274189
195 11.4099 -11.3075 0.635192 -0.120553
196 11.3685 -11.3045 0.630493 -0.215858
197 11.3295 -11.3065 0.613346 -0.309896
198 11.2942 -11.3145 0.586565 -0.399979
199 11.2641 -11.3289 0.554242 -0.484222
200 8.13674 -11.0094 -0.636319 0.141758
201 8.10512 -11.0097 -0.642055 0.100669
202 8.07307 -11.0189 -0.643766 0.0645948
203 8.04139 -11.0362 -0.643154 0.0318059
204 8.01081 -11.0606 -0.641112 0.000818499
205 7.98188 -11.0903 -0.638058 -0.0291847
206 7.95497 -11.1234 -0.634019 -0.0580946
207 7.93015 -11.1578 -0.629103 -0.0852929
208 7.90727 -11.1913 -0.623514 -0.110048
209 7.88592 -11.2219 -0.617485 -0.132
210 7.86548 -11.2479 -0.611063 -0.151425
211 7.84518 -11.2679 -0.603904 -0.169222
212 7.82419 -11.281 -0.595067 -0.186647
213 7.80169 -11.2869 -0.582832 -0.204894
214 7.77697 -11.2857 -0.564752 -0.224643
