# num, x, y, Re(cal), Re(ana), Im(cal), Im(ana)
61 -2.5347420632771922e-01 7.0405169278653146e-01 3.4210869523038951e+00 7.0001436974791753e-01 -1.9615508720984918e+00 -3.9001364891408435e-01
62 -2.7247068312146527e-01 6.8818238939157772e-01 3.5138890718249742e+00 5.7899141010724509e-01 -2.0116198895775930e+00 -4.0686275887778500e-01
63 -2.9395256652222668e-01 6.7928430194166500e-01 3.5811042991268445e+00 4.5173119889643920e-01 -2.0480095235052116e+00 -4.2103401059944534e-01
64 -3.1860639612501596e-01 6.7707305642543270e-01 3.6187778973381937e+00 3.1987420819290058e-01 -2.0675506141679825e+00 -4.3256915808152385e-01
65 -3.4686747417690128e-01 6.8076574883762309e-01 3.6193873224903470e+00 1.8505376917682861e-01 -2.0643731499083806e+00 -4.4159352235565930e-01
66 -3.7886214934644763e-01 6.8914769131157871e-01 3.5729081906738815e+00 4.8868528101728211e-02 -2.0308424763991728e+00 -4.4830839203842066e-01
67 -4.1437436673395667e-01 7.0066878907151320e-01 3.4691744260422674e+00 -8.7142998854064346e-02 -1.9596563712576183e+00 -4.5298138138572142e-01
68 -4.5284017877737742e-01 7.1356194261627348e-01 3.3009385495646248e+00 -2.2152534161694945e-01 -1.8465168494825088e+00 -4.5593515142002633e-01
69 -4.9337165560804330e-01 7.2597434531935423e-01 3.0666811858381080e+00 -3.5292612529439976e-01 -1.6924422567389330e+00 -4.5753492952496422e-01
70 -5.3480921486319477e-01 7.3610173423908465e-01 2.7721813002121918e+00 -4.8011300934809759e-01 -1.5048033262198952e+00 -4.5817527575455408e-01
71 -5.7579900606940082e-01 7.4231560569423372e-01 2.4302039199258720e+00 -6.0198736784973594e-01 -1.2966090759575621e+00 -4.5826654077799828e-01
72 -6.1488982902832801e-01 7.4327412167411522e-01 2.0583493881187591e+00 -7.1759465171863279e-01 -1.0842655277187525e+00 -4.5822144226735095e-01
73 -6.5064231834779074e-01 7.3800884416892409e-01 1.6758521750258391e+00 -8.2613145711378133e-01 -8.8461547124427475e-01 -4.5844215551026402e-01
74 -6.8174193556432050e-01 7.2598142438967472e-01 1.3004916971430347e+00 -9.2694939869698367e-01 -7.1222336413926413e-01 -4.5930827232284366e-01
75 -7.0710678118654746e-01 7.0710678118654757e-01 9.4656236867576093e-01 -1.0195559507723206e+00 -5.7757022632470245e-01 -4.6116593239543990e-01
76 -7.2598142438967461e-01 6.8174193556432061e-01 6.2421461048697868e-01 -1.1036124723823946e+00 -4.8631707554850429e-01 -4.6431837555930128e-01
77 -7.3800884416892398e-01 6.5064231834779085e-01 3.3982429589307644e-01 -1.1789296738897201e+00 -4.3938585754029358e-01 -4.6901810460960064e-01
78 -7.4327412167411511e-01 6.1488982902832812e-01 9.6719105693846438e-02 -1.2454608124749291e+00 -4.3346866583268950e-01 -4.7546078861203850e-01
79 -7.4231560569423372e-01 5.7579900606940038e-01 -1.0430852169203016e-01 -1.3032929228545016e+00 -4.6170481504881855e-01 -4.8378097817718874e-01
80 -7.3610173423908476e-01 5.3480921486319510e-01 -2.6488568032016141e-01 -1.3526363982234588e+00 -5.1451304682816834e-01 -4.9404964883449110e-01
81 -7.2597434531935423e-01 4.9337165560804347e-01 -3.8913827641915888e-01 -1.3938132360934761e+00 -5.8071854329575290e-01 -5.0627353786404894e-01
82 -7.1356194261627359e-01 4.5284017877737764e-01 -4.8362851913121974e-01 -1.4272442556343816e+00 -6.4901888067770364e-01 -5.2039619487836941e-01
83 -7.0066878907151309e-01 4.1437436673395633e-01 -5.5697374659774102e-01 -1.4534355787457665e+00 -7.0953857666977860e-01 -5.3630062785826904e-01
84 -6.8914769131157860e-01 3.7886214934644730e-01 -6.1921806805423096e-01 -1.4729646478161658e+00 -7.5498563632292703e-01 -5.5381339466559698e-01
85 -6.8076574883762309e-01 3.4686747417690145e-01 -6.8110333814689139e-01 -1.4864660303597896e+00 -7.8099424862697819e-01 -5.7270996539708885e-01
86 -6.7707305642543270e-01 3.1860639612501618e-01 -7.5325217504190745e-01 -1.4946172357501941e+00 -7.8560195269976441e-01 -5.9272116315492296e-01
87 -6.7928430194166489e-01 2.9395256652222695e-01 -8.4515079076490462e-01 -1.4981247432586029e+00 -7.6821023812494893e-01 -6.1354047951415747e-01
88 -6.8818238939157772e-01 2.7247068312146555e-01 -9.6388033531179496e-01 -1.4977104145537510e+00 -7.2857897872896427e-01 -6.3483205561696421e-01
89 -7.0405169278653146e-01 2.5347420632771922e-01 -1.1127306882775607e+00 -1.4940984385575860e+00 -6.6634863313030557e-01 -6.5623911974933202e-01
90 -7.2664642056615791e-01 2.3610173423908479e-01 -1.2899935777145302e+00 -1.4880029327266162e+00 -5.8132503479739239e-01 -6.7739267671657022e-01
91 -7.5519700070325391e-01 2.1940501082768751e-01 -1.4883270184011741e+00 -1.4801163029186912e+00 -4.7440095133509502e-01 -6.9792025256018408e-01
92 -7.8845457678569519e-01 2.0244072745077188e-01 -1.6951099663014013e+00 -1.4710984443260513e+00 -3.4866840375307884e-01 -7.1745450939198174e-01
93 -8.2477084962782454e-01 1.8435812721340125e-01 -1.8940939644404096e+00 -1.4615668486803821e+00 -2.1013553977688210e-01 -7.3564155864513292e-01
94 -8.6220782586846112e-01 1.6447493921709838e-01 -2.0683011972387728e+00 -1.4520876681147106e+00 -6.7579717433043571e-02 -7.5214881620691687e-01
95 -8.9866975039445296e-01 1.4233530545281628e-01 -2.2035457773209353e+00 -1.4431677736488677e+00 6.8560565931586714e-02 -7.6667225913925929e-01
96 -9.3204778035913893e-01 1.1774501677484504e-01 -2.2914708376625974e+00 -1.4352478361186454e+00 1.8786667882556485e-01 -7.7894296054145507e-01
97 -9.6036693950480934e-01 9.0781403927674434e-02 -2.3310119003241807e+00 -1.4286964493022627e+00 2.8149760911750799e-01 -7.8873279619581249e-01
98 -9.8192465371815141e-01 6.1777462856832957e-02 -2.3278149946585946e+00 -1.4238053087769422e+00 3.4304713947936255e-01 -7.9585923369210021e-01
99 -9.9541073385818124e-01 3.1282042544634549e-02 -2.2919747707573714e+00 -1.4207854554012418e+00 3.6860399197563620e-01 -8.0018913157606997e-01
100 -1.0000000000000000e+00 1.2246467991473532e-16 -2.2350058583867582e+00 -1.4197645889860064e+00 3.5640577501146281e-01 -8.0164149262219886e-01
101 -9.9541073385818124e-01 -3.1282042544634313e-02 -2.1670196516960556e+00 -1.4207854554012411e+00 3.0663843607808416e-01 -8.0018913157607019e-01
102 -9.8192465371815163e-01 -6.1777462856832728e-02 -2.0948093131369605e+00 -1.4238053087769420e+00 2.2170291957531385e-01 -7.9585923369210032e-01
103 -9.6036693950480934e-01 -9.0781403927674198e-02 -2.0212002660534720e+00 -1.4286964493022627e+00 1.0683139718274778e-01 -7.8873279619581260e-01
104 -9.3204778035913916e-01 -1.1774501677484482e-01 -1.9457037023724941e+00 -1.4352478361186456e+00 -2.9452289762198054e-02 -7.7894296054145518e-01
105 -8.9866975039445340e-01 -1.4233530545281609e-01 -1.8661746202339058e+00 -1.4431677736488671e+00 -1.7565552965074743e-01 -7.6667225913925985e-01
106 -8.6220782586846079e-01 -1.6447493921709849e-01 -1.7808245151707502e+00 -1.4520876681147106e+00 -3.1880055101962429e-01 -7.5214881620691665e-01
107 -8.2477084962782499e-01 -1.8435812721340111e-01 -1.6897437598705329e+00 -1.4615668486803812e+00 -4.4688418658919876e-01 -7.3564155864513292e-01
108 -7.8845457678569608e-01 -2.0244072745077149e-01 -1.5952775338998813e+00 -1.4710984443260511e+00 -5.5152529404246653e-01 -7.1745450939198252e-01
109 -7.5519700070325468e-01 -2.1940501082768718e-01 -1.5011730490484181e+00 -1.4801163029186917e+00 -6.2974732134898026e-01 -6.9792025256018420e-01
110 -7.2664642056615802e-01 -2.3610173423908462e-01 -1.4110269067709078e+00 -1.4880029327266162e+00 -6.8414981481916592e-01 -6.7739267671657044e-01
111 -7.0405169278653146e-01 -2.5347420632771928e-01 -1.3267865420267144e+00 -1.4940984385575857e+00 -7.2145234680379211e-01 -6.5623911974933213e-01
112 -6.8818238939157772e-01 -2.7247068312146538e-01 -1.2478237499250209e+00 -1.4977104145537503e+00 -7.5009907502969597e-01 -6.3483205561696454e-01
113 -6.7928430194166500e-01 -2.9395256652222645e-01 -1.1707216679244474e+00 -1.4981247432586038e+00 -7.7789165344287958e-01 -6.1354047951415813e-01
114 -6.7707305642543270e-01 -3.1860639612501557e-01 -1.0897211453189051e+00 -1.4946172357501943e+00 -8.1039961248460435e-01 -5.9272116315492340e-01
115 -6.8076574883762309e-01 -3.4686747417690161e-01 -9.9776531983936856e-01 -1.4864660303597899e+00 -8.5041171177031116e-01 -5.7270996539708885e-01
116 -6.8914769131157871e-01 -3.7886214934644752e-01 -8.8805242652945926e-01 -1.4729646478161651e+00 -8.9825908960094691e-01 -5.5381339466559665e-01
