# i, x, y, real(q), imag(q)
135 12.7062 -11.7084 1.54395 -0.760139
136 12.6823 -11.6928 1.75772 -1.20409
137 12.665 -11.6751 1.86346 -1.69181
138 12.6545 -11.6544 1.70918 -1.97908
139 12.6504 -11.63 1.36959 -1.93888
140 12.6519 -11.6015 1.0438 -1.73239
141 12.6578 -11.569 0.793153 -1.4944
142 12.6665 -11.5327 0.603147 -1.26789
143 12.6764 -11.4933 0.453276 -1.06408
144 12.6856 -11.4519 0.332212 -0.887158
145 12.6925 -11.4099 0.238045 -0.740224
146 12.6955 -11.3685 0.175611 -0.624833
147 12.6935 -11.3295 0.15427 -0.539975
148 12.6855 -11.2942 0.185437 -0.48181
149 12.6711 -11.2641 0.275766 -0.444297
150 12.6503 -11.2403 0.412282 -0.422458
151 12.6235 -11.2235 0.557308 -0.418471
152 12.5916 -11.2139 0.677297 -0.441158
153 12.5555 -11.2114 0.764724 -0.497367
154 12.5166 -11.2154 0.825468 -0.588148
155 12.4763 -11.2247 0.864385 -0.710365
156 12.4357 -11.238 0.881437 -0.858049
157 12.3963 -11.2535 0.871915 -1.02288
158 12.3589 -11.2694 0.826707 -1.1947
159 12.3244 -11.2836 0.731503 -1.36004
160 12.2932 -11.2944 0.563172 -1.49757
161 12.2653 -11.3003 0.291541 -1.55265
162 12.2405 -11.3 -0.0927037 -1.4187
163 12.2184 -11.2928 -0.469202 -1.0203
164 12.1983 -11.2784 -0.670378 -0.538412
165 12.1792 -11.2573 -0.700503 -0.167699
166 12.1603 -11.2301 -0.637497 0.0711713
167 12.1408 -11.1982 -0.53018 0.213691
168 12.12 -11.1634 -0.404523 0.290999
169 12.0973 -11.1277 -0.27647 0.32362
170 12.0724 -11.093 -0.158814 0.324951
171 12.0453 -11.0616 -0.063879 0.304419
172 12.0162 -11.0355 -0.00605507 0.269975
173 11.9856 -11.0162 -0.00142106 0.229313
174 11.9542 -11.0052 -0.065869 0.193363
175 11.9226 -11.003 -0.19788 0.175888
176 11.8918 -11.01 -0.363705 0.187684
177 11.8624 -11.0258 -0.520567 0.227239
178 11.8352 -11.0495 -0.650067 0.284349
179 11.8105 -11.0799 -0.755197 0.348772
180 11.7886 -11.115 -0.844869 0.4137
181 11.7693 -11.1531 -0.926725 0.476177
182 11.7524 -11.192 -1.00506 0.537148
183 11.7372 -11.2296 -1.07971 0.601497
184 11.7228 -11.264 -1.14361 0.677023
185 11.7084 -11.2938 -1.17535 0.771196
186 11.6928 -11.3177 -1.12314 0.87551
187 11.6751 -11.335 -0.890234 0.933261
188 11.6544 -11.3455 -0.450361 0.841475
189 11.63 -11.3496 0.0116991 0.617398
190 11.6015 -11.3481 0.343309 0.370522
191 11.569 -11.3422 0.543155 0.149087
192 11.5327 -11.3335 0.644442 -0.0394581
193 11.4933 -11.3236 0.673842 -0.193021
194 11.4519 -11.3144 0.651798 -0.307506
195 11.4099 -11.3075 0.59766 -0.377612
196 11.3685 -11.3045 0.531954 -0.398484
197 11.3295 -11.3065 0.478065 -0.367007
198 11.2942 -11.3145 0.457962 -0.282059
199 11.2641 -11.3289 0.492701 -0.150862
200 8.13674 -11.0094 -0.265367 0.273493
201 8.10512 -11.0097 -0.297709 0.34254
202 8.07307 -11.0189 -0.353629 0.393007
203 8.04139 -11.0362 -0.415902 0.430101
204 8.01081 -11.0606 -0.469938 0.461603
205 7.98188 -11.0903 -0.514248 0.488105
206 7.95497 -11.1234 -0.542076 0.511765
207 7.93015 -11.1578 -0.554895 0.52948
208 7.90727 -11.1913 -0.554698 0.538993
209 7.88592 -11.2219 -0.546726 0.535391
210 7.86548 -11.2479 -0.536235 0.507431
211 7.84518 -11.2679 -0.523117 0.429755
212 7.82419 -11.281 -0.48934 0.262453
213 7.80169 -11.2869 -0.407305 0.013698
214 7.77697 -11.2857 -0.297635 -0.218166
215 7.74948 -11.2782 -0.199003 -0.376511
216 7.71893 -11.2655 -0.117276 -0.47382
217 7.68533 -11.2493 -0.04732 -0.528453
218 7.64898 -11.2312 0.011238 -0.553424
219 7.61053 -11.2134 0.0561138 -0.555209
220 7.57087 -11.1977 0.0799819 -0.539583
221 7.53111 -11.1859 0.0752663 -0.510465
222 7.49252 -11.1796 0.0339926 -0.470867
223 7.45638 -11.18 -0.0493435 -0.422579
224 7.42393 -11.1876 -0.171447 -0.368366
225 7.39622 -11.2028 -0.308908 -0.317138
226 7.37406 -11.2254 -0.423266 -0.285612
227 7.35789 -11.2546 -0.493633 -0.285848
228 7.34779 -11.2893 -0.527693 -0.316838
229 7.34339 -11.3281 -0.542651 -0.366038
230 7.34394 -11.3696 -0.550012 -0.424217
231 7.34831 -11.412 -0.559196 -0.478285
232 7.35506 -11.4538 -0.575463 -0.519938
233 7.36257 -11.4937 -0.604086 -0.542915
234 7.36913 -11.5305 -0.652714 -0.543015
235 7.37306 -11.5633 -0.732621 -0.514174
236 7.37285 -11.5918 -0.85344 -0.441654
237 7.36729 -11.6159 -0.994375 -0.298543
238 7.35554 -11.636 -1.07681 -0.0891192
239 7.33722 -11.6526 -1.07103 0.113459
240 7.31246 -11.6668 -1.03766 0.26789
241 7.2819 -11.6794 -1.01391 0.386141
242 7.24663 -11.6916 -1.0025 0.484225
243 7.20818 -11.7046 -0.997338 0.566235
244 7.16838 -11.7192 -0.992736 0.629435
245 7.12923 -11.7361 -0.985002 0.666254
246 7.09281 -11.7559 -0.9701 0.666634
247 7.06107 -11.7788 -0.940367 0.618133
248 7.03575 -11.8045 -0.880554 0.507036
249 7.01822 -11.8329 -0.768563 0.326566
250 7.00939 -11.8633 -0.594008 0.0993881
251 7.00966 -11.8949 -0.388053 -0.113318
252 7.01885 -11.9269 -0.20741 -0.257926
253 7.03624 -11.9586 -0.0856884 -0.327833
254 7.06061 -11.9892 -0.0239914 -0.345163
255 7.09031 -12.0181 -0.0104922 -0.337564
256 7.1234 -12.045 -0.0260914 -0.328579
257 7.15777 -12.0698 -0.0552716 -0.340302
258 7.19127 -12.0927 -0.0812547 -0.39355
259 7.2219 -12.1141 -0.0908368 -0.514197
260 7.24789 -12.1345 -0.0734402 -0.737683
261 7.2679 -12.1548 -0.0237067 -1.10336
262 7.28102 -12.1758 0.0482349 -1.59049
263 7.2869 -12.1983 0.100627 -2.00077
264 7.28572 -12.223 0.0930181 -2.1631
265 7.2782 -12.2505 0.036044 -2.16423
266 7.26552 -12.2811 -0.0388152 -2.11272
267 7.24925 -12.3147 -0.11243 -2.05122
268 7.23122 -12.351 -0.170058 -1.98808
269 7.21338 -12.3895 -0.203573 -1.92585
270 7.19768 -12.4291 -0.209328 -1.86347
271 7.18592 -12.4689 -0.190003 -1.7953
272 7.17963 -12.5075 -0.155149 -1.7058
